method,app,run,crawl_dir,exit_status,duration_seconds,states,edges,crawl_paths,average_dom_kb,candidate_elements,candidate_elements_per_state,failed_events,near_duplicates,states_with_dep,dep_state_coverage_pct,unique_dep,unique_dep_per_state,unique_links,unique_resources,unique_js_sources,code_coverage_files,code_coverage_parse_errors,code_covered_lines,code_coverable_lines,code_coverage_pct,total_known_dep,dep_coverage_pct,total_known_links,link_coverage_pct,total_known_js_sources,js_source_coverage_pct,total_known_code_lines,code_coverage_union_pct,delta_duration_seconds_vs_baseline,delta_states_vs_baseline,delta_edges_vs_baseline,delta_crawl_paths_vs_baseline,delta_average_dom_kb_vs_baseline,delta_candidate_elements_vs_baseline,delta_failed_events_vs_baseline,delta_near_duplicates_vs_baseline,delta_states_with_dep_vs_baseline,delta_dep_state_coverage_pct_vs_baseline,delta_unique_dep_vs_baseline,delta_unique_links_vs_baseline,delta_unique_resources_vs_baseline,delta_unique_js_sources_vs_baseline,delta_code_covered_lines_vs_baseline,delta_code_coverable_lines_vs_baseline,delta_code_coverage_pct_vs_baseline,delta_dep_coverage_pct_vs_baseline,delta_link_coverage_pct_vs_baseline,delta_js_source_coverage_pct_vs_baseline,delta_code_coverage_union_pct_vs_baseline
rted,joomla,dep,experiments/dep/results/method-full/rted/joomla/dep/web/crawl0,MAX_TIME,294,14,8,3,13.088,70,5.0,0,0,14,100.0,36,2.571,5,0,50,0,0,0,0,,136,26.47,5,100.0,190,26.32,0,,286.0,13.0,8.0,3.0,0.293,65.0,0.0,0.0,13.0,0.0,23.0,1.0,0.0,40.0,0.0,0.0,,16.91,20.0,21.06,
rted,owncloud,baseline,experiments/dep/results/method-full/rted/owncloud/baseline/web/crawl0,EXHAUSTED,13,1,0,0,6.546,8,8.0,7,0,1,100.0,9,9.0,3,0,57,0,0,0,0,,60,15.0,139,2.16,139,41.01,0,,,,,,,,,,,,,,,,,,,,,,
rted,owncloud,dep,experiments/dep/results/method-full/rted/owncloud/dep/web/crawl0,MAX_TIME,287,7,18,2,56.362,472,67.429,8,0,7,100.0,56,8.0,45,0,133,0,0,0,0,,60,93.33,139,32.37,139,95.68,0,,274.0,6.0,18.0,2.0,49.816,464.0,1.0,0.0,6.0,0.0,47.0,42.0,0.0,76.0,0.0,0.0,,78.33,30.21,54.67,
rted,phpbb2,baseline,experiments/dep/results/method-full/rted/phpbb2/baseline/web/crawl0,EXHAUSTED,0,1,0,0,7.572,0,0.0,0,0,0,0.0,0,0.0,4,0,0,0,0,0,0,,0,,4,100.0,0,,0,,,,,,,,,,,,,,,,,,,,,,
rted,phpbb2,dep,experiments/dep/results/method-full/rted/phpbb2/dep/web/crawl0,EXHAUSTED,0,1,0,0,7.572,0,0.0,0,0,0,0.0,0,0.0,4,0,0,0,0,0,0,,0,,4,100.0,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
rted,scarf,baseline,experiments/dep/results/method-full/rted/scarf/baseline/web/crawl0,EXHAUSTED,0,1,0,0,1.823,0,0.0,0,0,0,0.0,0,0.0,2,0,0,0,0,0,0,,0,,2,100.0,0,,0,,,,,,,,,,,,,,,,,,,,,,
rted,scarf,dep,experiments/dep/results/method-full/rted/scarf/dep/web/crawl0,EXHAUSTED,0,1,0,0,1.823,0,0.0,0,0,0,0.0,0,0.0,2,0,0,0,0,0,0,,0,,2,100.0,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
rted,vanilla,baseline,experiments/dep/results/method-full/rted/vanilla/baseline/web/crawl0,EXHAUSTED,0,1,0,0,0.466,0,0.0,0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,,0,,1,100.0,0,,0,,,,,,,,,,,,,,,,,,,,,,
rted,vanilla,dep,experiments/dep/results/method-full/rted/vanilla/dep/web/crawl0,EXHAUSTED,0,1,0,0,0.466,0,0.0,0,0,0,0.0,0,0.0,1,0,0,0,0,0,0,,0,,1,100.0,0,,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,
rted,wackopicko,baseline,experiments/dep/results/method-full/rted/wackopicko/baseline/web/crawl0,EXHAUSTED,11,1,0,0,3.294,13,13.0,1,0,1,100.0,8,8.0,13,0,0,0,0,0,0,,27,29.63,79,16.46,0,,0,,,,,,,,,,,,,,,,,,,,,,
rted,wackopicko,dep,experiments/dep/results/method-full/rted/wackopicko/dep/web/crawl0,MAX_TIME,4958,16,121,89,4.627,144,9.0,0,0,14,87.5,27,1.688,32,0,0,0,0,0,0,,27,100.0,79,40.51,0,,0,,4947.0,15.0,121.0,89.0,1.333,131.0,-1.0,0.0,13.0,-12.5,19.0,19.0,0.0,0.0,0.0,0.0,,70.37,24.05,,
simhash,addressbook,baseline,experiments/dep/results/method-full/simhash/addressbook/baseline/web/crawl0,EXHAUSTED,4,1,0,0,4.486,5,5.0,2,0,1,100.0,5,5.0,6,0,0,0,0,0,0,,137,3.65,81,7.41,1,0.0,0,,,,,,,,,,,,,,,,,,,,,,
simhash,addressbook,dep,experiments/dep/results/method-full/simhash/addressbook/dep/web/crawl0,MAX_TIME,292,26,56,19,5.842,240,9.231,1,0,25,96.15,91,3.5,54,0,1,0,0,0,0,,137,66.42,81,66.67,1,100.0,0,,288.0,25.0,56.0,19.0,1.356,235.0,-1.0,0.0,24.0,-3.85,86.0,48.0,0.0,1.0,0.0,0.0,,62.77,59.26,100.0,
simhash,hotcrp,baseline,experiments/dep/results/method-full/simhash/hotcrp/baseline/web/crawl0,EXHAUSTED,13,1,0,0,2.804,6,6.0,2,0,1,100.0,4,4.0,6,0,2,0,0,0,0,,330,1.21,249,2.41,3,66.67,0,,,,,,,,,,,,,,,,,,,,,,
simhash,hotcrp,dep,experiments/dep/results/method-full/simhash/hotcrp/dep/web/crawl0,MAX_TIME,289,19,46,17,4.82,193,10.158,4,0,18,94.74,65,3.421,58,0,2,0,0,0,0,,330,19.7,249,23.29,3,66.67,0,,276.0,18.0,46.0,17.0,2.016,187.0,2.0,0.0,17.0,-5.26,61.0,52.0,0.0,0.0,0.0,0.0,,18.49,20.88,0.0,
